index,data
400,0.7525
401,0.7275
402,0.675
403,0.6175
404,0.57
405,0.52
406,0.38
407,0.19
408,0.0925
409,0.095
410,0.095
411,0.1
412,0.09
413,0.095
414,0.095
415,0.0975
416,0.095
417,0.0925
418,0.09
419,0.0925
420,0.0925
421,0.08
422,0.06
423,-0.015
424,-0.095
425,-0.15
426,-0.205
427,-0.2325
428,-0.245
429,-0.265
430,-0.305
431,-0.35
432,-0.3825
433,-0.4125
434,-0.4475
435,-0.47
436,-0.5
437,-0.5275
438,-0.56
439,-0.605
440,-0.66
441,-0.725
442,-0.77
443,-0.8275
444,-0.85
445,-0.865
446,-0.905
447,-0.9375
448,-0.95
449,-0.955
450,-0.97
451,-0.98
452,-0.9825
453,-0.9825
454,-0.9825
455,-0.98
456,-0.98
457,-0.975
458,-0.98
459,-0.98
460,-0.98
461,-0.985
462,-0.98
463,-0.98
464,-0.9825
465,-0.98
466,-0.98
467,-0.98
468,-0.98
469,-0.98
470,-0.975
471,-0.965
472,-0.95
473,-0.9375
474,-0.94
475,-0.935
476,-0.9325
477,-0.8875
478,-0.8075
479,-0.725
480,-0.5925
481,-0.2425
482,0.015
483,0.0825
484,0.08
485,0.085
486,0.09
487,0.105
488,0.16
489,0.2225
490,0.25
491,0.23
492,0.155
493,0.09
494,0.0925
495,0.09
496,0.09
497,0.0875
498,0.0975
499,0.09
500,0.09
501,0.0925
502,0.095
503,0.0975
504,0.09
505,0.09
506,0.09
507,0.09
508,0.09
509,0.09
510,0.0925
511,0.09
512,0.095
513,0.09
514,0.09
515,0.09
516,0.09
517,0.09
518,0.0875
519,0.0875
520,0.09
521,0.09
522,0.0925
523,0.0925
524,0.09
525,0.09
526,0.0925
527,0.1
528,0.0875
529,0.09
530,0.09
531,0.09
532,0.09
533,0.0775
534,0.065
535,0.025
536,-0.0175
537,-0.04
538,-0.05
539,-0.1125
540,-0.1525
541,-0.2
542,-0.2625
543,-0.295
544,-0.33
545,-0.3625
546,-0.395
547,-0.46
548,-0.52
549,-0.5575
550,-0.6075
551,-0.6425
552,-0.7
553,-0.7325
554,-0.75
555,-0.8125
556,-0.86
557,-0.9075
558,-0.9325
559,-0.9475
560,-0.95
561,-0.96
562,-0.97
563,-0.965
564,-0.965
565,-0.97
566,-0.9675
567,-0.965
568,-0.97
569,-0.965
570,-0.9675
571,-0.97
572,-0.97
573,-0.97
574,-0.97
575,-0.97
576,-0.97
577,-0.965
578,-0.965
579,-0.9625
580,-0.97
